repository,total_loc,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std,repository_full_name,popularidade_estrelas,atividade_releases,maturidade_anos
analysis-ik,2571,4.815789473684211,4.0,3.593201261526015,1.368421052631579,1.0,0.4888515295293513,15.421052631578949,2.5,28.35930809485268,infinilabs/analysis-ik,17207,1,13.74
andOTP,8443,6.108433734939759,3.0,8.453813266453619,1.5,1.0,0.983192080250175,41.41566265060241,0.0,339.3298414948974,andOTP/andOTP,3742,38,8.19
AndPermission,4486,3.994047619047619,3.0,3.666480346252435,1.1666666666666667,1.0,0.3737921332535444,7.488095238095238,0.0,35.26172257540586,yanzhenjie/AndPermission,6647,0,9.0
AndResGuard,6506,3.5303030303030303,2.0,4.558068744105411,1.5,1.0,0.8638019716079873,22.37878787878788,1.5,44.337088191235445,shwenzhang/AndResGuard,8624,4,9.92
android-advancedrecyclerview,20692,6.60506329113924,4.0,7.130115916183802,2.4075949367088607,2.0,2.211745994259175,32.02278481012658,0.0,194.65942401462965,h6ah4i/android-advancedrecyclerview,5337,1,10.63
android-async-http,7620,5.662337662337662,4.0,6.150849645566304,1.7857142857142858,1.0,1.078393174775521,45.87662337662338,3.0,293.7046297138016,android-async-http/android-async-http,10633,3,14.56
android-autofittextview,470,5.375,4.0,5.153015760559192,1.375,1.0,0.5175491695067657,40.75,1.5,107.67112625291624,grantland/android-autofittextview,4261,1,14.57
Android-BluetoothKit,8347,4.074688796680498,2.0,5.431641710715306,1.2406639004149378,1.0,0.5084350735997567,18.70124481327801,0.0,75.06648413313795,dingjikerbo/Android-BluetoothKit,3671,0,9.93
Android-Bootstrap,10389,6.962025316455696,3.0,8.321185563297938,1.6708860759493671,1.0,0.8581661871710137,31.39240506329114,2.0,77.89101816517858,Bearded-Hen/Android-Bootstrap,7271,5,11.86
android-classyshark,8714,3.169811320754717,2.0,3.5664888361327947,1.278301886792453,1.0,0.9251109544809684,10.25,1.0,27.568935571233173,google/android-classyshark,7588,17,9.92
Android-CleanArchitecture,2260,5.142857142857143,4.0,4.670753051268507,1.4285714285714286,1.0,0.7051615043752368,6.723809523809524,1.0,23.21782108892253,android10/Android-CleanArchitecture,15565,0,11.06
android-common,6707,4.4363636363636365,3.0,4.228620858148471,1.2454545454545454,1.0,0.6234906712862545,43.06363636363636,1.0,150.88499036329222,Trinea/android-common,5014,1,13.23
android-common,6707,4.4363636363636365,3.0,4.228620858148471,1.2454545454545454,1.0,0.6234906712862545,43.06363636363636,1.0,150.88499036329222,litesuits/android-common,3643,0,11.29
Android-ConvenientBanner,848,4.827586206896552,3.0,5.359030865992478,1.4482758620689655,1.0,0.6858887298634484,7.793103448275862,1.0,20.15365849514465,saiwu-bigkoo/Android-ConvenientBanner,4772,0,10.72
android-crop,1676,4.290322580645161,1.0,5.562934168147218,1.3870967741935485,1.0,0.6672040844618539,26.483870967741936,0.0,80.43418467614455,jdamcd/android-crop,4537,6,11.5
Android-Debug-Database,2393,4.147540983606557,4.0,3.8027887379911536,1.278688524590164,1.0,0.520613341517599,8.80327868852459,0.0,22.79825992784767,amitshekhariitbhu/Android-Debug-Database,8559,14,8.82
android-gif-drawable,2920,6.15625,4.0,6.372606927123236,1.65625,1.0,1.28753178416616,59.734375,0.0,286.65992473730404,koral--/android-gif-drawable,9629,61,12.61
android-gpuimage,6341,2.9607843137254903,2.0,3.748477503111266,2.156862745098039,2.0,1.192728225202643,11.300653594771244,0.0,54.17601491135415,cats-oss/android-gpuimage,9128,0,12.94
android-hidden-api,478,8.0,7.5,5.477225575051661,1.0,1.0,0.0,56.5,0.5,112.33432244866216,anggrayudi/android-hidden-api,3533,2,9.99
android-iconify,909,3.511627906976744,3.0,3.7248975251053538,1.2325581395348837,1.0,0.4274625743754584,5.186046511627907,1.0,15.308347884411502,JoanZapata/android-iconify,3944,0,12.25
Android-Image-Cropper,4655,7.725,4.0,9.418986553356348,1.375,1.0,0.5400617248673217,70.375,0.0,236.73383165758557,ArthurHub/Android-Image-Cropper,6424,32,10.66
Android-IMSI-Catcher-Detector,12171,5.059760956175299,3.0,6.86209984936313,1.330677290836653,1.0,0.6619782016367541,4.964143426294821,0.0,16.36247869863691,CellularPrivacy/Android-IMSI-Catcher-Detector,5094,48,11.8
android-interview-questions,5,0.0,0.0,,1.0,1.0,,0.0,0.0,,amitshekhariitbhu/android-interview-questions,12067,0,8.17
android-job,10693,6.994708994708994,4.0,6.055151977727405,1.7671957671957672,1.0,2.34946419169714,32.00529100529101,1.0,135.39479300126854,Evernote/android-job,5372,31,10.06
android-lifecycle,481,7.0,7.5,5.215361924162119,1.6666666666666667,2.0,0.5163977794943223,151.66666666666666,190.0,121.95846287431908,xxv/android-lifecycle,5274,0,11.4
android-maps-utils,13985,7.123287671232877,5.0,7.159285762411977,1.6757990867579908,1.0,0.9335287083732134,37.73972602739726,1.0,147.68485795034812,googlemaps/android-maps-utils,3575,55,12.32
android-mvp-architecture,4049,5.815068493150685,3.0,6.53056835954763,1.3835616438356164,1.0,0.8073820953538472,14.10958904109589,0.0,36.023579114848395,janishar/android-mvp-architecture,4446,0,8.62
Android-ObservableScrollView,12621,5.014925373134329,3.0,4.606336878748876,1.9671641791044776,2.0,1.1667022027281624,7.570149253731343,0.0,30.68499904098616,ksoichiro/Android-ObservableScrollView,9652,0,10.84
Android-PickerView,4421,3.725274725274725,2.0,5.05759260708521,1.1538461538461535,1.0,0.3628001262733126,15.494505494505496,0.0,90.5635901362344,Bigkoo/Android-PickerView,13482,0,10.7
Android-PullToRefresh,3567,6.024390243902439,4.5,5.847814004904143,2.109756097560976,2.0,1.360882951951775,55.84146341463415,1.0,370.8636057394005,chrisbanes/Android-PullToRefresh,8689,0,13.79
Android-skin-support,19377,6.079012345679012,5.0,5.036862041007699,1.3925925925925926,1.0,0.7321773066415239,17.671604938271606,1.0,68.42292265893116,ximsfei/Android-skin-support,6505,0,8.66
Android-SpinKit,1812,4.816901408450704,5.0,3.534765537405071,3.1690140845070425,2.0,2.4668424901536303,21.52112676056338,1.0,134.5702003899748,ybq/Android-SpinKit,8666,0,9.48
android-stackblur,933,1.7560975609756098,0.0,3.72679814186976,1.0975609756097562,1.0,0.4901468172282917,0.5853658536585366,0.0,1.8970451991992383,kikoso/android-stackblur,3592,0,12.07
android-times-square,2286,4.553191489361702,4.0,5.656118313435298,1.2340425531914894,1.0,0.597559018640466,25.872340425531917,0.0,134.50854458413585,square/android-times-square,4439,0,12.61
android-tips-tricks,22,1.0,1.0,,1.0,1.0,,0.0,0.0,,nisrulz/android-tips-tricks,4747,0,9.04
