repository,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
Android-Universal-Image-Loader,4.864285714285714,3.0,4.877212782122244,1.5857142857142856,1.0,0.9595091242435791,28.84285714285714,0.5,99.81899239912498
Android-Week-View,3.6296296296296298,2.0,7.201218636977346,1.2592592592592593,1.0,0.5943705521611524,238.33333333333334,0.0,1189.257590005048
Android-ZBLibrary,5.377358490566038,3.0,6.410932347813383,1.559748427672956,1.0,1.0331489640596767,26.666666666666668,0.0,131.61058449695395
Android-skin-support,6.079012345679012,5.0,5.036862041007695,1.3925925925925926,1.0,0.7321773066415237,17.671604938271606,1.0,68.42292265893118
AndroidAsync,3.613259668508287,2.0,5.022602883362449,1.5322283609576428,1.0,1.7464703485551554,19.44014732965009,0.0,84.11027514648916
AndroidAutoLayout,5.833333333333333,5.0,4.6526536672297185,2.0,2.0,0.7025001733142088,8.807692307692308,8.0,16.370751311454782
AndroidAutoSize,5.408163265306122,4.0,4.237326040416186,1.4081632653061225,1.0,0.496586990824148,31.285714285714285,1.0,136.30022010253688
AndroidHttpCapture,4.712933753943218,3.0,6.567776383146373,1.416403785488959,1.0,0.7976125378226911,37.003154574132495,0.0,259.3046141151554
AndroidImageSlider,4.063492063492063,2.0,7.079896609125289,1.5714285714285714,1.0,0.7769727382249009,59.095238095238095,1.0,361.21018429028686
AndroidNote,4.875,1.0,5.986592162013854,1.375,1.0,0.5175491695067657,8.125,3.0,12.744046228953906
AndroidPdfViewer,4.947368421052632,1.0,8.270906524489446,1.2456140350877194,1.0,0.6059438256138097,76.78947368421052,0.0,440.4714494088816
AndroidPerformanceMonitor,4.074074074074074,3.0,3.942280978718313,1.2777777777777777,1.0,0.5290313921087084,14.074074074074074,0.0,37.24921265565365
AndroidPicker,5.435146443514644,3.0,6.866905401226128,1.6443514644351465,1.0,1.2648610287981112,51.71548117154812,0.0,331.9649840595831
AndroidProject,7.215083798882682,4.0,8.249681862550467,2.142458100558659,1.0,1.5626367833655117,19.18435754189944,1.0,59.22921889468579
AndroidSlidingUpPanel,4.9411764705882355,2.0,6.637682090113367,1.3529411764705883,1.0,0.7859052479933756,132.0,0.0,373.94067042781
AndroidStaggeredGrid,5.861111111111111,3.0,6.586361569953379,1.8611111111111112,1.5,1.4172967786353567,155.88888888888889,0.5,666.9732390338472
AndroidSwipeLayout,3.7162162162162162,2.0,4.944958052844429,1.3243243243243243,1.0,0.599271432271895,58.9054054054054,0.0,480.28439545578254
AndroidTutorialForBeginners,4.511627906976744,4.0,4.653822822203819,1.496124031007752,1.0,0.7301972230131554,2.744186046511628,0.0,6.917232861854244
AndroidUtilCode,4.16865671641791,2.0,5.562250218243597,1.364179104477612,1.0,0.8356234289192934,144.95373134328358,0.0,960.5050906924683
AndroidVideoCache,4.8311688311688314,3.0,4.8919982931383315,1.4935064935064934,1.0,0.6614055333625072,14.324675324675324,1.0,34.24464674201362
AndroidViewAnimations,3.3780487804878048,2.0,7.030164713491828,1.8048780487804879,2.0,0.3987333150731604,2.292682926829268,0.0,12.8893561264717
AndroidWiFiADB,2.8666666666666667,2.0,3.1484351157616253,1.5,1.0,1.0747894741730137,12.133333333333333,0.0,23.720692746372652
Android_Data,2.0,2.0,2.8284271247461903,1.0,1.0,0.0,3.0,3.0,4.242640687119285
Ant-Media-Server,5.716568544995795,2.0,9.456683258356241,1.3254835996635828,1.0,0.7265050828887054,183.49116904962153,1.0,2599.01249751778
AntennaPod,7.420537897310513,5.0,8.938613919649935,1.4841075794621026,1.0,0.7825306517770622,21.410757946210268,1.0,106.38871237861204
Apktool,6.537931034482758,7.0,5.302018339032123,1.8413793103448275,2.0,0.99076192670202,50.710344827586205,1.0,326.790047219443
AppManager,7.919437340153452,5.0,9.162702537429512,1.4789002557544757,1.0,0.752179051780382,73.82033248081841,1.0,1039.490293704547
AppUpdate,4.4375,3.0,6.012882994434691,1.15625,1.0,0.4070314523161609,37.140625,1.0,112.16256161560595
ArchUnit,3.6097494553376905,2.0,7.0940633205861365,1.2753267973856208,1.0,1.0478402127094828,39.49591503267974,0.0,483.8829106199799
Arduino,4.131111111111111,2.0,6.051608861241206,1.768888888888889,1.0,1.922765063324277,32.72222222222222,0.0,208.2610270959919
AutoJs6,5.149886877828054,3.0,6.557019074114374,1.4649321266968325,1.0,0.8778948529673444,37.23359728506787,1.0,200.58494048638627
AxonFramework,6.4873136280408055,5.0,6.905301255509854,1.284593251373267,1.0,0.7828556961207392,16.170808265759874,0.0,101.52574082352292
BGABanner-Android,5.0,3.0,6.016004296234145,1.5849056603773586,2.0,0.6023659207386687,26.28301886792453,1.0,155.69501466235576
BGARefreshLayout-Android,5.148148148148148,3.0,5.5708003397286445,1.4074074074074074,1.0,0.7522682516424982,9.796296296296296,1.0,42.536376670264765
BackgroundLibrary,4.7899159663865545,4.0,4.830822559673248,1.2100840336134453,1.0,0.4090905494194042,34.1764705882353,0.0,222.08666223654654
BadgeView,4.3428571428571425,2.0,5.351980706149042,1.3142857142857143,1.0,0.5826626797035552,49.885714285714286,0.0,220.9386089110797
BannerViewPager,5.410958904109589,3.0,7.199219896856025,1.4109589041095891,1.0,0.7233336489699035,47.821917808219176,0.0,227.59108936287916
BasePopup,5.887323943661972,3.0,6.571381050490716,1.6954225352112675,1.0,1.2086607646799856,34.29401408450704,1.0,226.37188230853252
BigData-Notes,5.714285714285714,5.0,3.5125981644164272,1.2207792207792207,1.0,0.41749177815341537,0.8181818181818182,0.0,1.861855842172936
BigImageViewer,4.607142857142857,3.0,4.817182741988038,1.2857142857142858,1.0,0.5280431839639719,12.80952380952381,1.0,61.28827325292111
BilibiliDown,4.206106870229007,2.0,4.249349839387258,1.7213740458015268,1.0,1.3542331889492918,42.01908396946565,1.0,307.2707001315143
BlurView,5.9,3.5,5.683308895353129,1.5,1.0,0.7310832774866962,7.0,1.0,14.202962294219981
Blurry,5.142857142857143,3.5,4.53799587851362,1.0,1.0,0.0,0.6428571428571429,0.0,1.5984195491000024
Bolts-Android,3.0,2.0,3.522448482533407,1.0886075949367089,1.0,0.41284698720761925,19.0126582278481,0.0,150.34724085389553
BookReader,4.798283261802575,2.0,6.572775091751872,1.4377682403433476,1.0,0.8136046983863217,25.32331902718169,0.0,161.8582320801761
BoomMenu,5.6347826086956525,4.0,6.749048581138831,1.5739130434782609,1.0,0.8487438557792992,227.6695652173913,0.0,2078.287515027271
BottomBar,4.909090909090909,2.0,6.833688659816214,1.2878787878787878,1.0,0.626716756417038,61.666666666666664,0.0,332.0319416206975
BottomNavigation,7.533333333333333,5.5,7.815693025654499,1.4333333333333333,1.0,0.7279320417946062,69.26666666666667,4.5,162.13594409573744
BottomNavigationViewEx,4.896551724137931,3.0,5.122393606133526,1.5862068965517242,1.0,0.7327658649308672,50.13793103448276,0.0,185.8971920440226
BubbleSeekBar,4.9,2.0,6.885016214640461,1.3,1.0,0.5349830806219241,91.7,1.0,427.33417029702673
ByteLegend,6.979661016949152,7.0,2.8163021336193483,1.0033898305084745,1.0,0.05822225097395821,727.8440677966101,20.0,2317.1833423941907
CC,4.966666666666667,4.0,4.738423900879467,1.2583333333333333,1.0,0.5575431299340838,16.316666666666666,0.0,129.75924593169424
COLA,4.3291592128801435,3.0,4.515095093174924,1.3273703041144902,1.0,0.7147840167393981,4.974955277280858,0.0,18.32031059343514
CalendarView,6.568181818181818,4.0,7.124678165435893,2.159090909090909,1.0,1.4919698475418415,53.18181818181818,3.0,390.12795103891006
Calligraphy,5.72,5.0,5.062278801751901,1.44,1.0,0.5830951894845301,11.36,3.0,26.94420160257119
CameraView,5.597378277153558,3.0,8.069403023687792,1.3745318352059925,1.0,0.7364710145482959,34.762172284644194,0.0,335.6379347702086
Chat2DB,6.086124401913875,4.0,7.029375200718673,1.2660287081339714,1.0,0.5605518790769857,16.489952153110046,0.0,84.83664235184052
ChatKit,5.768518518518518,3.0,6.546178854704834,2.8981481481481484,2.0,4.831632170994697,35.48148148148148,0.0,135.54283259155972
Chronicle-Queue,5.49498997995992,4.0,6.24865246114878,1.591182364729459,1.0,0.8579900889758236,177.40080160320642,0.0,2216.0089970891536
CircleImageView,11.0,5.0,13.076696830622021,2.3333333333333335,2.0,0.5773502691896257,178.66666666666666,0.0,309.45974428563943
CircleIndicator,6.511111111111111,5.0,5.141728672088186,1.6222222222222222,2.0,0.6838689696694591,8.511111111111111,1.0,22.812100280156564
CircleProgress,5.76,6.0,4.215843134336634,1.68,2.0,0.6904105059069326,85.76,1.0,244.34082753400014
CloudReader,4.75,3.0,5.516915295599414,1.4552845528455285,1.0,0.922690059197208,19.41260162601626,0.0,84.24734751842253
CompreFace,7.852852852852853,6.0,7.325025142806018,1.6576576576576576,1.0,1.3296581825599811,3.894894894894895,0.0,16.049745833790674
CoordinatorTabLayout,5.294117647058823,3.0,5.56512248160758,1.411764705882353,1.0,0.5072996561958923,9.411764705882353,0.0,32.75488288700139
CoreNLP,5.922648083623693,4.0,7.922857059782232,1.6499419279907084,1.0,2.482534833998745,148.57862950058072,0.0,1831.554466146559
Create,10.752369668246445,8.0,10.22148510330588,1.8088467614533965,2.0,1.1772037653161225,27.795418641390206,3.0,109.73192438799143
CtCI-6th-Edition,2.12807881773399,2.0,1.5665131894513105,1.0689655172413792,1.0,0.3322160646501236,4.482758620689655,1.0,16.698076875043547
CustomActivityOnCrash,5.4,4.0,4.7629522657396315,1.3333333333333333,1.0,0.4879500364742666,32.333333333333336,0.0,80.05860948318396
DKVideoPlayer,5.326259946949602,2.0,6.287202052186155,1.5915119363395225,1.0,0.845974256116225,46.753315649867375,0.0,392.8341715347754
DSA-Bootcamp-Java,1.2687747035573123,1.0,1.2403969541247652,1.08300395256917,1.0,0.34073285278710974,3.5019762845849804,1.0,11.010681864735693
DSBridge-Android,2.978723404255319,2.0,3.8981007733539856,1.1063829787234043,1.0,0.3116605283339057,15.97872340425532,0.0,72.19041528627217
DanmakuFlameMaster,5.162790697674419,3.0,6.120353284754514,1.6104651162790697,1.0,1.3741582490793598,47.50581395348837,1.0,158.937609484635
DataMiningAlgorithm,2.2936507936507935,2.0,2.2629801954677746,1.0873015873015872,1.0,0.35821426593236105,9.96031746031746,0.0,36.264892288526276
DataX,4.502454991816694,3.0,5.765943436610254,1.7152209492635024,1.0,1.5134929282465563,22.648936170212767,0.0,185.31596939384588
DeepLinkDispatch,6.28,5.0,5.248174285723878,1.48,1.0,0.5099019513592784,88.64,0.0,256.62665488993935
DependencyCheck,7.058943089430894,5.0,7.657815603520922,1.8678861788617886,2.0,1.001437461379902,60.08943089430894,3.0,321.952343898017
Depth-LIB-Android-,3.787037037037037,2.0,4.604043176242909,1.212962962962963,1.0,0.4334371630540838,13.351851851851851,0.0,54.51542091953361
DesignPattern,2.5380710659898478,2.0,3.609062054508238,1.2791878172588833,1.0,0.4497429540846447,1.4263959390862944,0.0,4.555879102155018
Dexter,4.425,3.0,5.252546097496824,1.2,1.0,0.5602892562176357,4.15,0.0,14.592437784905202
Digital,5.047881122729774,4.0,5.764124308438279,1.6835443037974684,1.0,1.729033937232948,13.246009906439186,0.0,95.59516510354443
Discovery,4.777634961439588,4.0,5.110935464615141,1.268637532133676,1.0,0.6033526619884277,19.840616966580978,1.0,115.36020604332154
DiscreteScrollView,4.228571428571429,2.0,4.818348629611966,1.2476190476190476,1.0,0.45533065713392,19.114285714285714,0.0,101.51679609852691
DiskLruCache,3.25,2.5,2.9886147596868655,1.3333333333333333,1.0,0.778498944161523,11.0,3.0,25.59119166645217
DoKit,4.506054811982154,2.0,5.75909841827534,1.3205863607393244,1.0,0.8374771777838195,71.76673040152964,0.0,634.3989797032701
Douya,5.603697749196141,4.0,6.353467642029947,1.6254019292604502,1.0,1.0872764097408238,28.39790996784566,1.0,198.5989584233994
DroidPlugin,3.301526717557252,2.0,5.186648484997665,4.388040712468193,3.0,8.03865245090033,3.699745547073791,0.0,23.328426112863333
DropDownMenu,4.526315789473684,3.0,3.6570847687533785,1.368421052631579,1.0,0.49559462778335206,2.1578947368421053,0.0,4.246085228311117
EdXposed,6.065217391304348,4.0,6.955328231817648,1.6032608695652173,1.0,1.0494779350827605,191.0782608695652,1.0,2193.771819701256
EffectiveAndroidUI,4.438356164383562,3.0,4.6487343001732535,1.3424657534246576,1.0,0.6284720908280429,11.616438356164384,1.0,27.727658742864147
EhViewer,7.144758735440932,4.0,10.200359960153088,1.821963394342762,1.0,1.5099393382929196,45.26289517470882,1.0,450.45384236819507
Ehviewer_CN_SXJ,6.876923076923077,4.0,9.820401262228135,1.7164835164835164,1.0,1.2405208225455706,68.42197802197802,1.0,655.3903765017034
EventBus,3.4262295081967213,3.0,3.0659008126797604,1.8360655737704918,1.0,1.4240515779898408,9.05464480874317,0.0,35.08227798058746
ExoPlayer,7.587930508991161,5.0,8.947626781146026,1.295032002438281,1.0,1.015791326401542,52.220054861322765,0.0,493.13863976016825
ExpandableTextView,5.133333333333334,4.0,6.034030478007532,1.7333333333333334,1.0,1.0997835284835873,11.8,0.0,39.39760688888893
ExplosionField,4.9,2.0,4.931756504757936,1.5,1.5,0.5270462766947299,4.3,0.0,10.392839415246977
FairEmail,4.726866023075112,2.0,7.895113840806552,1.2707793736755357,1.0,0.7954480306980988,33.45396750647516,0.0,506.0949883638176
Fast-Android-Networking,3.219130434782609,2.0,4.596315287827566,1.2504347826086957,1.0,1.1261365852081,13.768695652173912,1.0,100.48159500479103
FastBle,4.380952380952381,2.0,5.916698911329359,1.2952380952380953,1.0,0.5704891545488621,26.066666666666666,0.0,184.24478213395827
FastHub,8.07387580299786,5.0,7.858740982375871,1.4379014989293362,1.0,0.6835208382103998,34.75695931477516,1.0,131.60347499201006
FileDownloader,4.5278810408921935,2.0,5.449579229338785,1.687732342007435,1.0,2.50355681066184,42.014869888475836,1.0,232.44795550158608
FirebaseUI-Android,9.788732394366198,7.0,8.4182461985188,1.9577464788732395,1.0,1.6681308785822022,12.338028169014084,1.0,34.47053072811107
FizzBuzzEnterpriseEdition,2.901098901098901,2.0,2.8364882241365725,1.0,1.0,0.0,0.23076923076923078,0.0,0.716114874039433
FlatLaf,3.8156028368794326,2.0,5.397921366595167,3.6843971631205674,2.0,4.209700553315363,64.82624113475177,3.0,358.9754478219791
FlexibleAdapter,6.024539877300613,4.0,7.617753289011862,2.1134969325153374,1.0,1.6406383499647867,102.30981595092024,1.0,1467.2018556617209
FloatWindow,3.772727272727273,2.0,4.136415909341426,1.2727272727272727,1.0,0.5440432764778562,9.727272727272727,1.0,27.38219047446176
FloatingActionButton,4.638297872340425,2.0,7.37630027421811,1.3829787234042554,1.0,0.7676387139726859,139.68085106382978,0.0,691.8437592650833
FlowLayout,4.323529411764706,3.0,3.8116296382398875,1.411764705882353,1.0,0.5569204860727307,5.0,0.0,16.00757396492124
FlycoTabLayout,6.454545454545454,3.0,8.867394308261126,1.5454545454545454,1.0,0.7111130839619098,223.0909090909091,1.0,720.4494414789096
ForestBlog,5.104651162790698,3.0,5.264820134947782,1.069767441860465,1.0,0.2562488530553892,12.686046511627907,0.0,46.04378009419423
Fragmentation,5.232394366197183,3.0,5.164660416227817,1.7077464788732395,1.0,1.0972869815833148,15.116197183098592,0.0,102.26939353165257
GCViewer,5.274914089347079,4.0,4.803018760814063,2.1649484536082473,1.0,2.33569193338476,49.044673539518904,1.0,236.70604802118356
GDA-android-reversing-Tool,2.5625,2.5,1.459166428707386,1.0,1.0,0.0,57.375,0.0,228.16803018828034
GSYVideoPlayer,5.485849056603773,2.0,6.822943304832579,1.5754716981132075,1.0,1.5180682702742623,55.355345911949684,0.0,309.22771899014595
GT,3.902857142857143,2.0,5.139251690619389,1.2952380952380953,1.0,0.6596617777945888,13.67047619047619,0.0,80.56898461533774
Gadgetbridge,5.379522184300341,3.0,8.631047641257645,1.8339021615472126,2.0,1.4432638706584755,38.69419795221843,0.0,335.38895585176766
GeekNews,4.626423690205011,2.0,5.2234834781552415,1.4464692482915718,1.0,0.9172273428553019,10.009111617312072,0.0,37.64979104993744
Geyser,8.23904052936311,6.0,10.67397331659688,1.965260545905707,1.0,1.5495515648382745,34.546732837055416,1.0,464.4716249732523
GhidraMCP,16.333333333333332,4.0,24.90649179096352,1.6666666666666667,2.0,0.5773502691896257,459.0,3.0,792.4146641752662
GitHub-Chinese-Top-Charts,0.0,0.0,,1.0,1.0,,0.0,0.0,
GmsCore,5.734660033167496,5.0,4.964622454426946,1.7103372028745163,2.0,0.9084828517828744,14.226644555002764,0.0,68.81728033612531
GoGoGo,7.708333333333333,4.0,13.429022767210931,1.4583333333333333,1.0,0.713347915274833,12.875,1.0,46.098241531976306
GravitySnapHelper,6.375,4.5,5.878228596147944,1.75,1.5,0.8864052604279182,57.875,1.0,154.09592327971748
GuideView,3.742857142857143,2.0,4.500606868509395,1.3714285714285714,1.0,0.7310634592924236,8.228571428571428,1.0,35.27545865319511
HMCL,6.812451960030746,4.0,8.200386401695557,1.695618754803997,1.0,1.329391135040741,35.824750192159875,1.0,312.59995822019
HTextView,4.197802197802198,2.0,4.080358862812003,1.5604395604395604,1.0,0.7631628806602051,3.4835164835164836,0.0,8.562661368941887
HaE,4.149253731343284,1.0,4.613070138347304,1.6567164179104477,1.0,1.5526345040643714,11.91044776119403,0.0,37.964389751323694
HeliBoard,6.666666666666667,4.0,8.918811453333507,1.4683544303797469,1.0,0.9182995020916266,71.05907172995781,2.0,261.8710477473354
HikariCP,4.383783783783784,3.0,4.196110615894506,1.2864864864864864,1.0,0.6586226414144778,172.67027027027027,0.0,1408.6613111747156
HomeMirror,2.727272727272727,2.0,4.944446627030415,1.0757575757575757,1.0,0.26663752754548836,5.348484848484849,0.0,35.40338637616135
Hystrix,3.340648379052369,2.0,5.187903227582037,1.570074812967581,1.0,3.592060195971951,20.253865336658354,0.0,385.24130640800473
IDDD_Samples,4.7373271889400925,3.0,5.572747278470986,1.663594470046083,1.0,1.0736903929475365,27.327188940092167,5.0,93.39131329029364
IJPay,5.589743589743589,5.0,10.493704569682567,1.36996336996337,1.0,0.5804210554368993,139.4029304029304,0.0,1332.614038379267
ImagePicker,5.828947368421052,3.0,6.2703283441825945,1.486842105263158,1.0,0.7744834158350383,23.07894736842105,0.0,115.56986494848267
ImmersionBar,6.352112676056338,5.0,7.113265185850685,2.1056338028169015,2.0,1.0014722954558344,159.25352112676057,3.0,1752.5199179840367
InfiniteCycleViewPager,5.048780487804878,3.0,6.484409069114144,1.6341463414634145,2.0,0.8875837301622762,102.53658536585365,0.0,513.5129549271848
Infinity-For-Reddit,6.933207309388784,4.0,10.867449690870602,1.551984877126654,1.0,2.392777758597948,30.850661625708884,1.0,314.89517622430316
InstaMaterial,4.7875,2.0,6.377757532177004,1.5375,1.0,0.8560100259675478,9.9375,0.0,29.582471610436453
InternetArchitect,4.6845151953690305,3.0,4.636844303048228,1.1577424023154848,1.0,0.6829243153555051,63.769898697539794,0.0,303.2221178835042
IoT-Technical-Guide,4.085034013605442,3.0,4.327416427152894,1.248299319727891,1.0,0.49182445625187626,3.163265306122449,0.0,12.064129447892862
Iris,6.25109649122807,4.0,7.075219111121003,1.3157894736842106,1.0,0.872215740577301,22.638157894736842,0.0,153.68909766135607
JAViewer,5.787709497206704,4.0,6.352002674948253,1.5977653631284916,1.0,0.9150400806143004,11.64804469273743,0.0,73.7946142646596
JCSprout,1.962962962962963,1.0,1.8579655235817738,1.0925925925925926,1.0,0.36637481326603377,1.7654320987654322,0.0,6.358388805131699
JCTools,4.601522842639594,3.0,5.363398732392431,3.9086294416243654,2.5,3.3616079908828107,19.965736040609137,0.0,82.09316982697325
