,popularidade,maturidade,atividade,loc,cbo,dit,lcom
popularidade,1.000,0.070,0.125,0.037,0.045,-0.022,0.011
maturidade,0.070,1.000,-0.011,0.108,0.023,0.095,0.082
atividade,0.125,-0.011,1.000,0.162,0.283,-0.034,0.094
loc,0.037,0.108,0.162,1.000,0.412,0.121,0.543
cbo,0.045,0.023,0.283,0.412,1.000,0.199,0.279
dit,-0.022,0.095,-0.034,0.121,0.199,1.000,0.143
lcom,0.011,0.082,0.094,0.543,0.279,0.143,1.000
